,0,1,2,3,4
1182,Comedy,Drama,,,
1186,Documentary,History,,,
1187,Crime,Documentary,,,
1189,Drama,,,,
1191,Comedy,Romance,,,
1192,Crime,Drama,,,
1193,Drama,Crime,,,
1194,Mystery,Thriller,Horror,,
1196,Drama,,,,
1201,Thriller,Horror,,,
1202,Comedy,Romance,,,
1205,Horror,Comedy,,,
1206,Documentary,,,,
1207,Thriller,Horror,,,
1210,Drama,Romance,Comedy,,
1211,Family,Adventure,,,
1212,Comedy,Family,,,
1213,War,Documentary,History,,
1214,Drama,,,,
1215,Horror,,,,
1221,Thriller,Drama,Horror,Mystery,
1222,Comedy,Drama,,,
1223,Romance,Drama,,,
1224,Romance,Adventure,Drama,,
1226,Adventure,Fantasy,Romance,Science Fiction,
1229,Drama,,,,
1230,Drama,TV Movie,,,
1231,Adventure,Action,,,
1232,Documentary,,,,
1234,Family,Fantasy,Horror,,
1235,Drama,History,,,
1239,Horror,Thriller,,,
1242,Comedy,,,,
1243,Comedy,,,,
1244,Crime,Thriller,,,
1247,Documentary,,,,
1249,Crime,Drama,Thriller,,
1250,Documentary,History,,,
1252,Comedy,Romance,,,
1253,Drama,Thriller,,,
1254,Drama,Comedy,,,
1255,Romance,Comedy,Drama,,
1257,Comedy,,,,
1258,Documentary,,,,
1262,Thriller,Crime,Action,Drama,
1263,Documentary,,,,
1264,Horror,,,,
1268,Drama,Music,,,
1269,Mystery,Thriller,,,
1270,Romance,Drama,,,
1271,Comedy,,,,
1273,Documentary,,,,
1277,Documentary,,,,
1278,Documentary,,,,
1280,Drama,,,,
1281,Documentary,,,,
1282,Drama,Horror,,,
1286,Documentary,,,,
1287,Documentary,Music,,,
